name,shares,unit_cost,cost_amt,mkt_price,mkt_amt,amt_rnk,cost_pct,mkt_pct,div_rnk,div_amt
GVREIT,69000,7.75,534750.0,6.4,441600.0,4.0,10.04,12.16,1.0,53695.8
MCS,75000,15.312,1148400.0,9.45,708750.0,2.0,6.2,10.05,2.0,71250.0
DIF,45000,12.7,571500.0,9.45,425250.0,5.0,7.0,9.41,3.0,39996.0
WHAIR,50000,8.7,435000.0,6.95,347500.0,6.0,6.59,8.24,4.0,28650.0
3BBIF,120000,10.1,1212000.0,6.55,786000.0,1.0,5.11,7.88,5.0,61908.0
SENA,105000,4.48,470400.0,1.86,195300.0,9.0,3.09,7.44,6.0,14521.5
TFFIF,25000,7.3,182500.0,6.55,163750.0,10.0,6.39,7.12,7.0,11657.5
CPNREIT,55000,18.0,990000.0,11.6,638000.0,3.0,4.58,7.11,8.0,45380.5
PTT,7500,32.0,240000.0,34.5,258750.0,7.0,7.19,6.67,9.0,17250.0
WHART,20000,12.3,246000.0,10.2,204000.0,8.0,5.51,6.64,10.0,13548.0
NER,27000,7.45,201150.0,4.88,131760.0,11.0,4.16,6.35,11.0,8370.0
