artist,title,date,type,filename,duration_seconds,duration_minutes
Bryan Adams,(Everything I Do) I Do It For You,2026-11-01,L,(Everything I Do) I Do It For You_Bryan Adams.mp4,454.25,7.570833333333334
Rolling Stones The,(I Can't Get No) Satisfaction,2026-11-01,L,(I Can't Get No) Satisfaction_Rolling Stones The.mp4,237.88,3.9646666666666666
UB40,(I Can't Help) Falling In Love With You,2026-11-01,L,(I Can't Help) Falling In Love With You_UB40 .mp4,215.82999999999998,3.5971666666666664
Otis Redding,(Sittin' On) The Dock of the Bay,2026-11-01,L,(Sittin' On) The Dock of the Bay_Otis Redding.mp4,164.29,2.7381666666666664
Sam Cooke,A Change Is Gonna Come,2026-11-01,L,A Change Is Gonna Come_Sam Cooke.mp4,194.42,3.240333333333333
Beatles The,A Day in the Life,2026-11-01,L,A Day in the Life_Beatles The.mp4,300.13,5.002166666666667
America,A Horse With No Name,2026-11-01,L,A Horse With No Name_America .mp4,251.54,4.192333333333333
Bob Seger,Against the Wind,2026-11-01,L,Against the Wind_Bob Seger.mp4,333.96,5.566
Jimi Hendrix Experience The,All Along the Watchtower,2026-11-01,L,All Along the Watchtower_Jimi Hendrix Experience The.mp4,241.29,4.0215
Celine Dion,All By Myself,2026-11-01,L,All By Myself_Celine Dion.mp4,237.96,3.966
Everly Brothers The,All I Have to Do Is Dream,2026-11-01,L,All I Have to Do Is Dream_Everly Brothers The.mp4,138.17000000000002,2.3028333333333335
John Legend,All of Me,2026-11-01,L,All of Me_John Legend.mp4,307.29,5.1215
Taylor Swift,All Too Well,2026-11-01,L,All Too Well_Taylor Swift.mp4,600.88,10.014666666666667
Heart,Alone,2026-11-01,L,Alone_Heart .mp4,217.71,3.6285000000000003
Lady Gaga,Always Remember Us This Way,2026-11-01,L,Always Remember Us This Way_Lady Gaga.mp4,213.13,3.5521666666666665
Sarah McLachlan,Angel,2026-11-01,L,Angel_Sarah McLachlan.mp4,270.46,4.507666666666666
Rolling Stones The,Angie,2026-11-01,L,Angie_Rolling Stones The.mp4,279.46,4.657666666666667
Taylor Swift,Anti-Hero,2026-11-01,L,Anti-Hero_Taylor Swift.mp4,309.5,5.158333333333333
Rolling Stones The,As Tears Go By,2026-11-01,L,As Tears Go By_Rolling Stones The.mp4,166.32999999999998,2.7721666666666662
Bread,Aubrey,2026-11-01,L,Aubrey_Bread .mp4,216.71,3.6118333333333337
Bread,Baby I'm-a Want You,2026-11-01,L,Baby I'm-a Want You_Bread .mp4,151.0,2.5166666666666666
Daniel Powter,Bad Day,2026-11-01,L,Bad Day_Daniel Powter.mp4,236.04,3.9339999999999997
Billie Eilish,Bad Guy,2026-11-01,L,Bad Guy_Billie Eilish.mp4,206.04,3.4339999999999997
Creedence Clearwater Revival,Bad Moon Rising,2026-11-01,L,Bad Moon Rising_Creedence Clearwater Revival .mp4,135.17,2.2528333333333332
Joan Jett and the Blackhearts,Bad Reputation,2026-11-01,L,Bad Reputation_Joan Jett and the Blackhearts .mp4,167.46,2.791
Heart,Barracuda,2026-11-01,L,Barracuda_Heart .mp4,335.75,5.595833333333333
Michael Jackson,Beat It,2026-11-01,L,Beat It_Michael Jackson.mp4,298.71,4.9784999999999995
Kelly Clarkson,Because Of You,2026-11-01,L,Because Of You_Kelly Clarkson.mp4,223.46,3.7243333333333335
Anonymous Singer,Because You Loved Me,2026-11-01,L,Because You Loved Me_Anonymous Singer.mp4,355.04,5.917333333333334
Celine Dion,Because You Loved Me,2026-11-01,L,Because You Loved Me_Celine Dion.mp4,277.08,4.617999999999999
Lewis Capaldi,Before You Go,2026-11-01,L,Before You Go_Lewis Capaldi.mp4,246.38,4.106333333333334
Imagine Dragons,Believer,2026-11-01,L,Believer_Imagine Dragons .mp4,216.57999999999998,3.6096666666666666
Elton John,Bennie and the Jets,2026-11-01,L,Bennie and the Jets_Elton John.mp4,348.75,5.8125
